Customer_ID,Name,Age,Monthly_Salary,Join_Date,Currency,Total_Spending,City,Gender
C001,Ananya,25,45000,01/02/2025,INR,120000,Bangalore,Female
C002,Rahul,32,55000,2025-03-15,INR,180000,Mysore,Male
C003,Priya,150,60000,15-04-2025,INR,220000,Bangalore,Female
C004,Arjun,,50000,2025/05/20,INR,95000,Mumbai,Male
C005,Neha,28,70000,25-06-2025,USD,250000,Bangalore,Female
C006,Kiran,35,65000,07/07/2025,INR,310000,Chennai,Male
C007,Sneha,29,72000,2025-08-12,INR,275000,Bangalore,Female
C008,Rohan,42,80000,18-09-2025,INR,400000,Mumbai,Male
C009,Divya,26,48000,2025/10/05,INR,110000,Mysore,Female
C010,Manoj,31,58000,12-11-2025,INR,165000,Chennai,Male
C010,Manoj,31,58000,12-11-2025,INR,165000,Chennai,Male
C011,Meena,27,52000,2025-12-10,INR,145000,Bangalore,Female
C012,Suresh,-5,62000,01/01/2026,INR,190000,Mumbai,Male
C013,Lakshmi,38,90000,15-02-2026,INR,500000,Bangalore,Female
C014,Vijay,45,85000,2026/03/18,INR,450000,Chennai,Male
C015,Anu,24,47000,25-04-2026,INR,105000,Mysore,Female
