Customer_ID,Name,Age,Monthly_Salary,Join_Date,Currency,Total_Spending,Gender,Salary_Standardized,Spending_Normalized,Gender_Label,City_Bangalore,City_Chennai,City_Mumbai,City_Mysore,Annual_Income,Age_Group,Spending_Category,Customer_Value_Index
C001,Ananya,25.0,45000,2025-02-01,INR,120000,Female,-0.2696895965515585,0.0012103606874848704,0,1,0,0,0,540000,Adult,Low,552.0
C002,Rahul,32.0,55000,,INR,180000,Male,-0.262951848469824,0.00411522633744856,1,0,0,0,1,660000,Adult,Medium,678.0
C003,Priya,30.0,60000,,INR,220000,Female,-0.2595829744289568,0.0060518034374243525,0,1,0,0,0,720000,Adult,Medium,742.0
C004,Arjun,,50000,,INR,95000,Male,-0.2663207225106912,0.0,1,0,0,1,0,600000,Senior,Low,609.5
C005,Neha,28.0,5810000,,INR,20750000,Female,3.6146221725683643,1.0,0,1,0,0,0,69720000,Adult,High,71795.0
C006,Kiran,35.0,65000,2025-07-07,INR,310000,Male,-0.2562141003880895,0.010409101912369887,1,0,1,0,0,780000,Adult,High,811.0
C007,Sneha,29.0,72000,,INR,275000,Female,-0.2514976767308754,0.008714596949891068,0,1,0,0,0,864000,Adult,Medium,891.5
C008,Rohan,42.0,80000,,INR,400000,Male,-0.24610747826548782,0.01476640038731542,1,0,0,1,0,960000,Senior,High,1000.0
C009,Divya,26.0,48000,,INR,110000,Female,-0.26766827212703814,0.0007262164124909223,0,0,0,0,1,576000,Adult,Low,587.0
C010,Manoj,31.0,58000,,INR,165000,Male,-0.26093052404530365,0.0033890099249576375,1,0,1,0,0,696000,Adult,Medium,712.5
C011,Meena,27.0,52000,,INR,145000,Female,-0.26497317289434436,0.002420721374969741,0,1,0,0,0,624000,Adult,Low,638.5
C012,Suresh,30.0,62000,2026-01-01,INR,190000,Male,-0.25823542481260986,0.0045993706124425075,1,0,0,1,0,744000,Adult,Medium,763.0
C013,Lakshmi,38.0,90000,,INR,500000,Female,-0.23936973018375335,0.0196078431372549,0,1,0,0,0,1080000,Adult,High,1130.0
C014,Vijay,45.0,85000,,INR,450000,Male,-0.2427386042246206,0.01718712176228516,1,0,1,0,0,1020000,Senior,High,1065.0
C015,Anu,24.0,47000,,INR,105000,Female,-0.2683420469352116,0.0004841442749939482,0,0,0,0,1,564000,Young,Low,574.5
